1,bright,192.168.1.87,,,-1.05,130.3,-1.15,206.4,1.42,2.07,2410.3,0.72,1.66,5320.6,0.77,2.96,11753.0,Metal,Synth,United Kingdom,Professional,21,British,hash_2236292189
2,presence,192.168.1.115,,,0.1,74.9,-0.61,195.6,0.91,3.47,1860.3,0.63,1.65,3895.1,1.02,0.64,12406.2,Rock,Mix,United Kingdom,Professional,60,British,hash_1070150211
3,bright,192.168.1.49,,,-0.58,111.6,-0.58,260.0,0.95,2.72,2542.3,0.78,1.5,4716.4,0.59,2.13,9993.0,Rock,Bass,United Kingdom,Professional,29,British,hash_3552748801
4,warm,192.168.1.38,,,2.8,88.4,1.77,253.8,0.86,-0.74,838.8,0.89,-1.48,3835.1,1.01,-1.74,10697.0,Electronic,Mix,United Kingdom,Professional,56,British,hash_216212871
5,presence,192.168.1.62,,,0.03,80.4,-0.51,189.7,0.83,3.01,2237.2,0.79,0.63,3756.7,1.06,0.49,9413.4,Metal,Drums,United Kingdom,Professional,56,British,hash_1799963141
6,airy,192.168.1.109,,,-0.58,62.3,0.01,282.1,0.98,0.36,965.6,0.8,2.19,6166.6,0.98,4.23,14020.7,Hip-Hop,Vocal,United Kingdom,Professional,59,British,hash_2700110874
7,bright,192.168.1.152,,,-0.75,120.9,-1.12,288.9,0.93,2.39,1909.0,0.71,1.38,7146.9,0.76,3.48,12059.3,Classical,Guitar,United Kingdom,Professional,56,British,hash_3783134527
8,presence,192.168.1.241,,,-0.09,70.2,-0.62,164.0,0.91,2.12,1704.6,1.01,1.31,4221.6,0.99,0.52,10936.4,Hip-Hop,Drums,United Kingdom,Professional,49,British,hash_3109411072
9,warm,192.168.1.123,,,2.0,123.6,1.49,265.1,1.02,-0.62,797.2,0.76,-1.34,3517.0,0.73,-0.99,8612.3,Pop,Vocal,United Kingdom,Professional,28,British,hash_2408135283
10,warm,192.168.1.51,,,2.99,103.3,2.16,307.1,1.61,-0.75,919.0,0.84,-1.41,3895.2,1.02,-1.2,8477.9,Electronic,Drums,United Kingdom,Professional,33,British,hash_1108905476
11,warm,192.168.1.168,,,3.45,118.9,1.58,241.3,1.23,-0.55,914.4,0.81,-2.22,3303.7,1.15,-0.91,9459.4,Metal,Mix,United Kingdom,Professional,39,British,hash_1128716762
